Character,Sentence,movie_number,identified_spells
Dumbledore,"I should've known that you would be here, Professor McGonagall.",film 1,
McGonagall,"Good evening, Professor Dumbledore.",film 1,
McGonagall,"Are the rumors true, Albus?",film 1,
Dumbledore,"I'm afraid so, professor.",film 1,
Dumbledore,The good and the bad.,film 1,
McGonagall,And the boy?,film 1,
Dumbledore,Hagrid is bringing him.,film 1,
McGonagall,Do you think it wise to trust Hagrid with something as important as this?,film 1,
Dumbledore,"Ah, Professor, I would trust Hagrid with my life.",film 1,
Hagrid,"Professor Dumbledore, sir.",film 1,
Hagrid,Professor McGonagall.,film 1,
Dumbledore,"No problems, I trust, Hagrid?",film 1,
Hagrid,"No, sir.",film 1,
Hagrid,Little tyke fell asleep just as we were flying over Bristol.,film 1,
Hagrid,Try not to wake him.,film 1,
Hagrid,There you go.,film 1,
Dumbledore,"Albus, do you really think it's safe, leaving him with these people?",film 1,
McGonagall,I've watched them all day.,film 1,
McGonagall,"They're the worst sort of Muggles, imaginable.",film 1,
McGonagall,They really are...,film 1,
Dumbledore,The only family he has.,film 1,
McGonagall,This boy will be famous.,film 1,
McGonagall,There won't be a child in our world who doesn't know his name.,film 1,
Dumbledore,Exactly.,film 1,
Dumbledore,He's far better off growing up away from all of that.,film 1,
Dumbledore,Until he's ready.,film 1,
Dumbledore,"There, there, Hagrid.",film 1,
Dumbledore,"It's not really goodbye, after all.",film 1,
Dumbledore,Good luck...Harry Potter.,film 1,
Petunia,Up. Get up!,film 1,
Petunia,Now!,film 1,
Dudley,"Wake up, cousin!",film 1,
Dudley,We're going to the zoo!,film 1,
Petunia,"Here he comes, the birthday boy.",film 1,
Vernon,"Happy birthday, son.",film 1,
Petunia,"Why don't you just cook the breakfast, and try not to burn anything.",film 1,
Harry,"Yes, Aunt Petunia.",film 1,
Petunia,I want everything to be perfect for my Dudley's special day!,film 1,
Vernon,"Hurry up! Bring my coffee, boy.",film 1,
Harry,"Yes, Uncle Vernon.",film 1,
Petunia,"Aren't they wonderful, darling?",film 1,
Dudley,How many are there?,film 1,
Vernon,36. Counted them myself.,film 1,
Dudley,36?! But last year... last year I had 37!,film 1,
Vernon,But some of them are quite a bit bigger than last year's.,film 1,
Dudley,I don't care how big they are!,film 1,
Petunia,"Oh, now, now, now. ",film 1,
Petunia,This is what we're going to do...,film 1,
Petunia,"is that when we go out, we're going to buy you two new presents.",film 1,
Petunia,"How's that, pumpkin?",film 1,
Petunia,It should be a lovely day at the zoo.,film 1,
Petunia,I'm really looking forward to it.,film 1,
Vernon,"I'm warning you now, boy.",film 1,
Vernon,"Any funny business, any at all...",film 1,
Vernon,And you won't have any meals for a week.,film 1,
Vernon,Get in.,film 1,
Dudley,Make it move.,film 1,
Vernon,Move!,film 1,
Dudley,Move!,film 1,
Harry,He's asleep!,film 1,
Dudley,He's boring.,film 1,
Harry,Sorry about him.,film 1,
Harry,"He doesn't understand what it's like, lying there day after day...",film 1,
Harry,...watching people press their ugly faces in on you.,film 1,
Harry,Can you hear me?,film 1,
Harry,"It's just, I've never talked to a snake before.",film 1,
Harry,Do you...?,film 1,
Harry,"I mean, do you talk to people often?",film 1,
Harry,"You're from Burma, aren't you?",film 1,
Harry,Was it nice there?,film 1,
Harry,Do you miss your family?,film 1,
Harry,I see. That's me as well.,film 1,
Harry,I never knew my parents either.,film 1,
Harry,"Mummy, Dad, come here! ",film 1,
Dudley,you won't believe what this snake is doing!,film 1,
Snake,Thanks.,film 1,
Harry,Anytime.,film 1,
Someone,Snake!,film 1,
Dudley,Mum! Mummy! Help me!,film 1,
Petunia,My darling boy!,film 1,
Petunia,How did you get in there?,film 1,
Petunia,Who did this?,film 1,
Petunia,How did you get in there?,film 1,
Petunia,ls there a snake?,film 1,
Petunia,"It's all right, sweetheart.",film 1,
Petunia,We'll get you out of these cold clothes.,film 1,
Vernon,What happened?,film 1,
Harry,"I swear, I don't know!",film 1,
Harry,"One minute the glass was there and then it was gone, it was like magic.",film 1,
Vernon,There's no such thing as magic.,film 1,
Petunia,And smile!,film 1,
Petunia,"Vernon, just look at him!",film 1,
Petunia,I can't believe it!,film 1,
Petunia,"In just a week, he'll be off to Smeltings.",film 1,
Vernon,Caveat Smeltonia.,film 1,
Vernon,Proudest moment of my life.,film 1,
Harry,Will I have to wear that too?,film 1,
Petunia,What? You? Go to Smeltings?,film 1,
Petunia,Don't be so stupid!,film 1,
Petunia,You're going to go to the state school.,film 1,
Petunia,Where you belong.,film 1,
Petunia,"This is what you'll going to be wearing, when I finish dyeing it.",film 1,
Harry,That's Dudley's old uniform.,film 1,
Harry,It'll fit me like bits of old elephant skin.,film 1,
Petunia,It'll fit you well enough.,film 1,
Petunia,Go get the post. Go!,film 1,
