id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2869669,In Praise of Two Eminent Shakespeareans,Shakespeare Quarterly,1979,,article,jstor,1979-01-01,1,30,http://www.jstor.org/stable/2869669,A. B. Kernan,Folger Shakespeare Library,eng,100,103,,1959,4,unigram; bigram; trigram
http://www.jstor.org/stable/2871200,Shakespeare In Edinburgh,Shakespeare Quarterly,1985,,article,jstor,1985-07-01,2,36,http://www.jstor.org/stable/2871200,Gerald M. Berkowitz,Folger Shakespeare Library,eng,222,226,,2961,5,unigram; bigram; trigram
http://www.jstor.org/stable/2871374,Subject Index,Shakespeare Quarterly,1997,,article,jstor,1997-01-01,5,48,http://www.jstor.org/stable/2871374,,Folger Shakespeare Library,eng,840,848,,6128,9,unigram; bigram; trigram
http://www.jstor.org/stable/2868126,Shakespeare and Francis Sabie,Shakespeare Quarterly,1964,,article,jstor,1964-10-01,4,15,http://www.jstor.org/stable/2868126,Ann Stanford,Folger Shakespeare Library,eng,454,455,,636,2,unigram; bigram; trigram
http://www.jstor.org/stable/2871404,Review Article,Shakespeare Quarterly,1997,,article,jstor,1997-04-01,1,48,http://www.jstor.org/stable/2871404,M. Lindsay Kaplan,Folger Shakespeare Library,eng,91,92,,1011,2,unigram; bigram; trigram
http://www.jstor.org/stable/2866457,Review Article,Shakespeare Quarterly,1956,,article,jstor,1956-04-01,,2,http://www.jstor.org/stable/2866457,R. A. Foakes,Folger Shakespeare Library,eng,270,272,,1098,3,unigram; bigram; trigram
http://www.jstor.org/stable/2867247,Review Article,Shakespeare Quarterly,1958,,article,jstor,1958-04-01,2,9,http://www.jstor.org/stable/2867247,Edward Hubler,Folger Shakespeare Library,eng,192,193,,654,2,unigram; bigram; trigram
http://www.jstor.org/stable/2868641,Reviews of Books Previously Recorded in Shakespeare Quarterly Bibliographies,Shakespeare Quarterly,1973,,article,jstor,1973-10-01,4,24,http://www.jstor.org/stable/2868641,Bruce Nesbitt,Folger Shakespeare Library,eng,564,574,,4875,11,unigram; bigram; trigram
http://www.jstor.org/stable/2868110,Review Article,Shakespeare Quarterly,1964,,article,jstor,1964-10-01,4,15,http://www.jstor.org/stable/2868110,Robert Loper,Folger Shakespeare Library,eng,433,434,,647,2,unigram; bigram; trigram
http://www.jstor.org/stable/2870020,"American Shakespeare Theatre, Stratford, Connecticut",Shakespeare Quarterly,1981,,article,jstor,1981-07-01,2,32,http://www.jstor.org/stable/2870020,Peter Saccio,Folger Shakespeare Library,eng,193,196,,2606,4,unigram; bigram; trigram
http://www.jstor.org/stable/2867059,Will and Reason in Troilus and Cressida,Shakespeare Quarterly,1961,,article,jstor,1961-07-01,3,12,http://www.jstor.org/stable/2867059,David Kaula,Folger Shakespeare Library,eng,271,283,,7137,13,unigram; bigram; trigram
http://www.jstor.org/stable/2902304,Review Article,Shakespeare Quarterly,1998,,article,jstor,1998-07-01,2,49,http://www.jstor.org/stable/2902304,Cynthia Marshall,Folger Shakespeare Library,eng,210,214,,2560,5,unigram; bigram; trigram
http://www.jstor.org/stable/2866411,Review Article,Shakespeare Quarterly,1955,,article,jstor,1955-04-01,2,6,http://www.jstor.org/stable/2866411,S. Thomas,Folger Shakespeare Library,eng,192,192,,242,1,unigram; bigram; trigram
http://www.jstor.org/stable/2867473,"An Early Allusion to Richard III, and Its Bearing on the Date of the Play",Shakespeare Quarterly,1961,,article,jstor,1961-10-01,4,12,http://www.jstor.org/stable/2867473,G. A. Wilkes,Folger Shakespeare Library,eng,464,465,,921,2,unigram; bigram; trigram
http://www.jstor.org/stable/2868190,Review Article,Shakespeare Quarterly,1963,,article,jstor,1963-10-01,4,14,http://www.jstor.org/stable/2868190,Thomas Pyles,Folger Shakespeare Library,eng,469,470,,573,2,unigram; bigram; trigram
http://www.jstor.org/stable/2866396,Pepys' Shakespeare Song,Shakespeare Quarterly,1955,,article,jstor,1955-04-01,2,6,http://www.jstor.org/stable/2866396,MacDonald Emslie,Folger Shakespeare Library,eng,159,170,,4210,12,unigram; bigram; trigram
http://www.jstor.org/stable/2871159,Review Article,Shakespeare Quarterly,1995,,article,jstor,1995-04-01,1,46,http://www.jstor.org/stable/2871159,Margaret P. Hannay,Folger Shakespeare Library,eng,92,93,,842,2,unigram; bigram; trigram
http://www.jstor.org/stable/2902353,Review Article,Shakespeare Quarterly,2000,,article,jstor,2000-12-01,4,51,http://www.jstor.org/stable/2902353,Margarida Gandara Rauen,Folger Shakespeare Library,eng,509,512,,1954,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869589,Editions and Texts,Shakespeare Quarterly,1980,,article,jstor,1980-12-01,4,31,http://www.jstor.org/stable/2869589,Harrison T. Meserole; John B. Smith,Folger Shakespeare Library,eng,490,492,,1699,3,unigram; bigram; trigram
http://www.jstor.org/stable/2868260,Hamlet and the Coronation of Christian IV,Shakespeare Quarterly,1965,,article,jstor,1965-04-01,2,16,http://www.jstor.org/stable/2868260,Gunnar Sjögren,Folger Shakespeare Library,eng,155,160,,2903,6,unigram; bigram; trigram
http://www.jstor.org/stable/2871079,[H],Shakespeare Quarterly,1964,,article,jstor,1964-01-01,,15,http://www.jstor.org/stable/2871079,,Folger Shakespeare Library,eng,88,112,,13450,25,unigram; bigram; trigram
http://www.jstor.org/stable/2868517,Notice,Shakespeare Quarterly,1972,,article,jstor,1972-07-01,3,23,http://www.jstor.org/stable/2868517,,Folger Shakespeare Library,eng,266,266,,82,1,unigram; bigram; trigram
http://www.jstor.org/stable/2902217,Review Article,Shakespeare Quarterly,1998,,article,jstor,1998-04-01,1,49,http://www.jstor.org/stable/2902217,Jonathan Gil Harris,Folger Shakespeare Library,eng,102,104,,1972,3,unigram; bigram; trigram
http://www.jstor.org/stable/2869112,New Jersey Shakespeare Festival,Shakespeare Quarterly,1978,,article,jstor,1978-04-01,,2,http://www.jstor.org/stable/2869112,Bernard Beckerman,Folger Shakespeare Library,eng,232,234,,1401,3,unigram; bigram; trigram
http://www.jstor.org/stable/2902148,Review Article,Shakespeare Quarterly,2000,,article,jstor,2000-07-01,2,51,http://www.jstor.org/stable/2902148,Georgianna Ziegler,Folger Shakespeare Library,eng,260,263,,1816,4,unigram; bigram; trigram
http://www.jstor.org/stable/2868044,Review Article,Shakespeare Quarterly,1962,,article,jstor,1962-10-01,,4,http://www.jstor.org/stable/2868044,George Burke Johnston,Folger Shakespeare Library,eng,581,581,,498,1,unigram; bigram; trigram
http://www.jstor.org/stable/2867158,Review Article,Shakespeare Quarterly,1958,,article,jstor,1958-10-01,4,9,http://www.jstor.org/stable/2867158,Brice Harris,Folger Shakespeare Library,eng,577,578,,619,2,unigram; bigram; trigram
http://www.jstor.org/stable/2867788,Review Article,Shakespeare Quarterly,1963,,article,jstor,1963-04-01,2,14,http://www.jstor.org/stable/2867788,G. P. V. Akrigg,Folger Shakespeare Library,eng,174,175,,453,2,unigram; bigram; trigram
http://www.jstor.org/stable/2870303,"""Something Rich and Strange"": Caliban's Theatrical Metamorphoses",Shakespeare Quarterly,1985,,article,jstor,1985-12-01,4,36,http://www.jstor.org/stable/2870303,Virginia Mason Vaughan,Folger Shakespeare Library,eng,390,405,,7515,16,unigram; bigram; trigram
http://www.jstor.org/stable/2867088,Front Matter,Shakespeare Quarterly,1959,,article,jstor,1959-10-01,4,10,http://www.jstor.org/stable/2867088,,Folger Shakespeare Library,eng,459,459,,489,1,unigram; bigram; trigram
http://www.jstor.org/stable/2868188,Review Article,Shakespeare Quarterly,1963,,article,jstor,1963-10-01,4,14,http://www.jstor.org/stable/2868188,R. F. Hill,Folger Shakespeare Library,eng,467,468,,650,2,unigram; bigram; trigram
http://www.jstor.org/stable/2868769,Review Article,Shakespeare Quarterly,1971,,article,jstor,1971-01-01,1,22,http://www.jstor.org/stable/2868769,Giles E. Dawson,Folger Shakespeare Library,eng,73,73,,257,1,unigram; bigram; trigram
http://www.jstor.org/stable/2870754,They Were Not Such Good Years,Shakespeare Quarterly,1989,,article,jstor,1989-04-01,1,40,http://www.jstor.org/stable/2870754,Frankie Rubinstein,Folger Shakespeare Library,eng,70,74,,3686,5,unigram; bigram; trigram
http://www.jstor.org/stable/41679774,Review Article,Shakespeare Quarterly,2012,,article,jstor,2012-10-01,3,63,http://www.jstor.org/stable/41679774,David Riggs,Folger Shakespeare Library,eng,428,431,,1577,4,unigram; bigram; trigram
http://www.jstor.org/stable/2866945,The Foresters' Song in As You Like It,Shakespeare Quarterly,1959,,article,jstor,1959-04-01,2,10,http://www.jstor.org/stable/2866945,Peter J. Seng,Folger Shakespeare Library,eng,246,249,,1984,4,unigram; bigram; trigram
http://www.jstor.org/stable/2870928,Grubbing Up the Stock: Dramatizing Queens in Henry VIII,Shakespeare Quarterly,1988,,article,jstor,1988-10-01,3,39,http://www.jstor.org/stable/2870928,Kim H. Noling,Folger Shakespeare Library,eng,291,306,,9411,16,unigram; bigram; trigram
http://www.jstor.org/stable/2869401,Trevor Nunn's Macbeth,Shakespeare Quarterly,1977,,article,jstor,1977-04-01,2,28,http://www.jstor.org/stable/2869401,Marvin Rosenberg,Folger Shakespeare Library,eng,195,196,,1336,2,unigram; bigram; trigram
http://www.jstor.org/stable/2869970,Review Article,Shakespeare Quarterly,1986,,article,jstor,1986-07-01,2,37,http://www.jstor.org/stable/2869970,Harold Jenkins,Folger Shakespeare Library,eng,258,260,,1769,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866842,Rosalind's Gentle Jupiter,Shakespeare Quarterly,1962,,article,jstor,1962-07-01,3,13,http://www.jstor.org/stable/2866842,Mary Ellen Rickey,Folger Shakespeare Library,eng,365,366,,765,2,unigram; bigram; trigram
http://www.jstor.org/stable/2866486,Review Article,Shakespeare Quarterly,1953,,article,jstor,1953-10-01,4,4,http://www.jstor.org/stable/2866486,Hubert Heffner,Folger Shakespeare Library,eng,477,479,,1194,3,unigram; bigram; trigram
